,Unnamed: 0,xmin,ymin,xmax,ymax,confidence,raw_x,raw_y,x,y,d,r,g,b
891,891,311.75,114.0625,339.75,142.125,0.79443359375,325.75,128.09375,242.0907730146011,255.940185546875,192,112,113,123
892,892,311.5,113.8125,339.0,142.0,0.80908203125,325.25,127.90625,241.9050647702991,255.809814453125,208,117,117,125
893,893,311.5,113.5625,338.5,141.25,0.81787109375,325.0,127.40625,241.81221064814812,255.462158203125,208,116,116,126
894,894,311.75,112.75,337.75,141.125,0.82666015625,324.75,126.9375,241.71935652599717,255.13623046875,207,114,118,129
895,895,312.5,112.0,338.0,140.75,0.83203125,325.25,126.375,241.9050647702991,254.7451171875,207,116,118,125
896,896,312.25,110.75,337.25,140.625,0.84228515625,324.75,125.6875,241.71935652599717,254.26708984375,0,255,255,255
897,897,312.25,110.1875,337.25,141.0,0.85205078125,324.75,125.59375,241.71935652599717,254.201904296875,0,255,255,255
898,898,311.75,109.1875,337.25,141.125,0.8583984375,324.5,125.15625,241.62650240384613,253.897705078125,213,113,115,125
899,899,311.0,108.4375,337.0,141.125,0.857421875,324.0,124.78125,241.44079415954414,253.636962890625,214,110,113,123
900,900,310.25,107.75,336.25,140.75,0.85888671875,323.25,124.25,241.1622317930911,253.267578125,243,115,117,127
901,901,310.5,107.125,335.5,141.125,0.8662109375,323.0,124.125,241.06937767094016,253.1806640625,242,116,116,125
902,902,311.75,107.75,334.25,140.0,0.87060546875,323.0,123.875,241.06937767094016,253.0068359375,212,114,117,125
903,903,312.75,103.8125,336.25,140.375,0.8681640625,324.5,122.09375,241.62650240384613,251.768310546875,216,113,118,128
904,904,313.0,104.8125,334.0,140.5,0.869140625,323.5,122.65625,241.25508591524215,252.159423828125,216,116,117,125
905,905,314.5,100.9375,335.0,142.25,0.87548828125,324.75,121.59375,241.71935652599717,251.420654296875,215,114,116,125
906,906,314.25,100.375,335.25,140.25,0.89794921875,324.75,120.3125,241.71935652599717,250.52978515625,213,115,114,127
907,907,314.25,100.25,334.75,138.5,0.88671875,324.5,119.375,241.62650240384613,249.8779296875,211,117,118,127
908,908,314.25,100.0,335.75,135.5,0.87744140625,325.0,117.75,241.81221064814812,248.748046875,210,117,117,127
909,909,316.0,92.25,335.0,129.25,0.8671875,325.5,110.75,241.99791889245014,243.880859375,235,115,115,125
910,910,315.25,91.625,335.25,128.875,0.87060546875,325.25,110.25,241.9050647702991,243.533203125,237,115,117,127
911,911,315.25,90.8125,335.25,128.5,0.88037109375,325.25,109.65625,241.9050647702991,243.120361328125,244,116,118,127
912,912,314.75,90.75,335.25,131.375,0.8408203125,325.0,111.0625,241.81221064814812,244.09814453125,0,255,255,255
913,913,315.0,90.25,335.5,131.75,0.8408203125,325.25,111.0,241.9050647702991,244.0546875,0,255,255,255
914,914,314.25,90.375,335.25,128.75,0.8544921875,324.75,109.5625,241.71935652599717,243.05517578125,214,113,114,125
915,915,313.75,90.125,335.25,128.25,0.85400390625,324.5,109.1875,241.62650240384613,242.79443359375,225,116,120,128
916,916,314.25,90.0,335.25,128.0,0.85302734375,324.75,109.0,241.71935652599717,242.6640625,228,113,114,124
917,917,314.25,89.3125,334.75,127.9375,0.85400390625,324.5,108.625,241.62650240384613,242.4033203125,227,116,117,126
918,918,314.0,88.8125,335.0,127.6875,0.84814453125,324.5,108.25,241.62650240384613,242.142578125,225,111,113,123
919,919,314.0,88.875,336.0,127.0,0.84521484375,325.0,107.9375,241.81221064814812,241.92529296875,203,111,114,124
920,920,315.0,88.625,336.0,129.25,0.8427734375,325.5,108.9375,241.99791889245014,242.62060546875,231,115,115,125
921,921,315.25,88.8125,335.75,129.5,0.84912109375,325.5,109.15625,241.99791889245014,242.772705078125,225,113,113,123
922,922,315.0,89.0,335.5,129.375,0.8525390625,325.25,109.1875,241.9050647702991,242.79443359375,230,111,113,124
